iter	RMSE
196	11.91129373
197	11.85642307
198	11.81540248
199	11.74842657
200	11.71351881
201	11.68184316
202	11.62762331
203	11.55731095
204	11.51357793
205	11.46694043
206	11.42288474
207	11.36960534
208	11.32276147
209	11.27297718
210	11.22320163
211	11.18769757
212	11.12952736
213	11.09435135
214	11.0428576
215	10.99593306
216	10.95763262
217	10.91779721
218	10.87858702
219	10.82460615
220	10.77906656
221	10.72782009
222	10.68408464
223	10.67370265
224	10.65304383
225	10.61233679
226	10.54637519
227	10.5030248
228	10.44282646
229	10.37847296
230	10.32112181
231	10.28567369
232	10.25627025
233	10.2025265
234	10.14792893
235	10.13635825
236	10.10532798
237	10.07719817
238	10.02213618
239	9.982875641
240	9.962539044
241	9.918757458
242	9.866761946
243	9.830918794
244	9.783879541
245	9.740803731
246	9.697462251
247	9.628277452
248	9.595852028
249	9.569518624
250	9.535900615
251	9.490144825
252	9.464100006
253	9.417621952
254	9.398265695
255	9.343383305
256	9.307055717
257	9.27656861
258	9.264247263
259	9.228266577
260	9.206438948
261	9.185519197
262	9.150477721
263	9.094856731
264	9.059434624
265	9.018708817
266	8.972752116
267	8.925500626
268	8.882988724
269	8.841871759
270	8.791347791
271	8.750249585
272	8.69665458
273	8.661603826
274	8.619533839
275	8.595201629
276	8.551419425
277	8.514077784
278	8.469103495
279	8.428171026
280	8.395856275
281	8.359614623
282	8.322089057
283	8.283831104
284	8.257060324
285	8.229147986
286	8.201814158
287	8.180899148
288	8.136375632
289	8.107575426
290	8.074495685
291	8.056665684
292	8.035845813
293	8.00256072
294	7.98541503
295	7.970101611
296	7.932067418
297	7.894853736
298	7.878528685
299	7.851297789
300	7.826217402
301	7.788186788
302	7.754899262
303	7.725441447
304	7.680195421
305	7.647767468
306	7.622458017
307	7.593266859
308	7.578939422
309	7.557050868
310	7.549815089
311	7.528922067
312	7.498225574
313	7.483597022
314	7.456190829
315	7.444893879
316	7.436130798
317	7.415072278
318	7.392119647
319	7.37184432
320	7.336649745
321	7.292155863
322	7.260414679
323	7.246898374
324	7.205019141
325	7.171273181
326	7.139004495
327	7.131252046
328	7.086569899
329	7.051916296
330	7.028990313
331	7.012662158
332	7.004658808
333	6.993557378
334	6.967573622
335	6.939879192
336	6.932797535
337	6.91269076
338	6.899980031
339	6.880203278
340	6.869422357
341	6.841435776
342	6.820010305
343	6.813372206
344	6.806186441
345	6.786994721
346	6.774077124
347	6.74503976
348	6.738400226
349	6.728201452
350	6.713848548
351	6.694438795
352	6.676411373
353	6.637804888
354	6.610863886
355	6.587324295
356	6.566887909
357	6.542079021
358	6.525626901
359	6.49042
360	6.464148496
361	6.443491744
362	6.41724866
363	6.399961088
364	6.389157953
365	6.352952503
366	6.346985398
367	6.316497996
368	6.28442005
369	6.261570407
370	6.245662895
371	6.223279793
372	6.192192111
373	6.177650114
374	6.156310373
375	6.140689188
376	6.116205524
377	6.100817548
378	6.089916216
379	6.058869717
380	6.054473436
381	6.050380726
382	6.013816959
383	6.008581905
384	5.988589034
385	5.984571285
386	5.959135884
387	5.935759512
388	5.912448337
389	5.883224785
390	5.866216411
391	5.847067568
392	5.826372726
393	5.808571319
394	5.798200502
395	5.774343242
396	5.754075485
397	5.726997292
398	5.702411183
399	5.686081786
400	5.664774023
401	5.641841328
402	5.616788629
403	5.600038788
404	5.587362695
405	5.57386147
406	5.550117387
407	5.5354192
408	5.521938489
409	5.49920689
410	5.483593387
411	5.458051853
412	5.443732565
413	5.430500252
414	5.418466635
415	5.40390049
416	5.380927809
417	5.365172515
418	5.343353687
419	5.329139656
420	5.318070702
421	5.296076107
422	5.283709066
423	5.275945923
424	5.250031356
425	5.23587364
426	5.209549915
427	5.186267118
428	5.163457262
429	5.145338352
430	5.13655021
431	5.117738626
432	5.098484723
433	5.085162218
434	5.071632471
435	5.049638162
436	5.039762451
437	5.017378154
438	5.014502223
439	4.997173292
440	4.98053654
441	4.967510228
442	4.95399522
443	4.93096875
444	4.918830037
445	4.905717303
446	4.885530034
447	4.865936609
448	4.852461759
449	4.83979129
450	4.833456318
451	4.830387104
452	4.826681326
453	4.811217741
454	4.806229774
455	4.793069249
456	4.789680118
457	4.78198829
458	4.769113194
459	4.7571476
460	4.73785036
461	4.73028855
462	4.723252458
463	4.713971927
464	4.703571431
465	4.700919757
466	4.698210608
467	4.693572775
468	4.687848985
469	4.67648504
470	4.660741145
471	4.642987913
472	4.62159379
473	4.608703809
474	4.605555896
475	4.591231283
476	4.575742516
477	4.551884898
478	4.538402294
479	4.521744313
480	4.51278595
481	4.495129332
482	4.485625873
483	4.482779414
484	4.480126346
485	4.462050156
486	4.44573166
487	4.434870379
488	4.428823674
489	4.408603157
490	4.39231915
491	4.379597138
492	4.371091229
493	4.364474003
494	4.352716277
495	4.330219307
496	4.313756871
497	4.30832639
498	4.280207447
499	4.270550775
500	4.258731641
501	4.255762576
502	4.248379041
503	4.227813883
504	4.219916162
505	4.215268785
506	4.203836425
507	4.188344354
508	4.181113419
509	4.167304523
510	4.159772507
511	4.139471897
512	4.124068833
513	4.11053859
514	4.094969879
515	4.082682998
516	4.069957868
517	4.061312382
518	4.050463291
519	4.046701216
520	4.027983874
521	4.013862655
522	3.999977322
523	3.994217531
524	3.979721371
525	3.971741045
526	3.959011417
527	3.956775129
528	3.94719745
529	3.928872196
530	3.912540422
531	3.898022041
532	3.895165954
533	3.888301407
534	3.879104963
535	3.873738757
536	3.869710525
537	3.858784663
538	3.844364949
539	3.837026598
540	3.827446287
541	3.818324167
542	3.816179198
543	3.800358127
544	3.797596235
545	3.779837252
546	3.77318681
547	3.767861221
548	3.75915005
549	3.747795923
550	3.739945555
551	3.727488281
552	3.715035962
553	3.703184684
554	3.690592923
555	3.679138329
556	3.668164692
557	3.651198552
558	3.638462621
559	3.635559151
560	3.626765337
561	3.612480471
562	3.597368288
563	3.589137777
564	3.574813771
565	3.572560397
566	3.561844257
567	3.545891385
568	3.53067164
569	3.528206219
570	3.515616707
571	3.511368359
572	3.49784476
573	3.486747027
574	3.481417985
575	3.471306558
576	3.458947342
577	3.448564583
578	3.442417573
579	3.440496188
580	3.430431205
581	3.422660761
582	3.416859354
583	3.400235859
584	3.390562328
585	3.379534042
586	3.366645623
587	3.361563428
588	3.345921954
589	3.329963448
590	3.32342637
591	3.308397369
592	3.294005856
593	3.2877412
594	3.281215298
595	3.279606791
596	3.264378559
597	3.254723598
598	3.241737993
599	3.22804744
600	3.214323793
601	3.200452352
602	3.189683059
603	3.179207518
604	3.167254644
605	3.162403037
606	3.160433314
607	3.157878879
608	3.146272576
609	3.14392044
610	3.140689591
611	3.128960843
612	3.120684037
613	3.110335019
614	3.100378832
615	3.0933224
616	3.088637904
617	3.074678302
618	3.066746782
619	3.055105529
620	3.043009145
621	3.033400643
622	3.02544742
623	3.015300488
624	3.004475441
625	2.98939389
626	2.976959029
627	2.966898036
628	2.950926792
629	2.943944358
630	2.932560558
631	2.921682771
632	2.913825806
633	2.90353796
634	2.888576957
635	2.873795499
636	2.863373823
637	2.852977606
638	2.845533564
639	2.839420893
640	2.829057924
641	2.826693087
642	2.818586617
643	2.817176428
644	2.807690793
645	2.806649934
646	2.800107518
647	2.791475861
648	2.782218217
649	2.772709483
650	2.763078171
651	2.753063566
652	2.743296645
653	2.734966059
654	2.722249872
655	2.714151267
656	2.704750028
657	2.693850944
658	2.682889463
659	2.673982177
660	2.663512939
661	2.653917953
662	2.647762529
663	2.642477455
664	2.637367225
665	2.631187641
666	2.62241773
667	2.609961718
668	2.600311421
669	2.596620166
670	2.586203291
671	2.573826342
672	2.566543619
673	2.556338598
674	2.550826316
675	2.545382098
676	2.539927454
677	2.53218376
678	2.525256871
679	2.51700896
680	2.50120274
681	2.493338968
682	2.483989061
683	2.481729853
684	2.477866489
685	2.467400166
686	2.459313495
687	2.452960712
688	2.449048745
689	2.439472672
690	2.431705486
691	2.425120364
692	2.413046096
693	2.407012442
694	2.398916446
695	2.391054882
696	2.385444614
697	2.380775604
698	2.371256404
699	2.362380496
700	2.353881755
701	2.350842519
702	2.348232236
703	2.342746042
704	2.337289329
705	2.331536876
706	2.322929251
707	2.31959136
708	2.317984906
709	2.309520701
710	2.307485609
711	2.300312436
712	2.296566227
713	2.28668248
714	2.280097397
715	2.272554809
716	2.270848904
717	2.266502796
718	2.258813166
719	2.249118545
720	2.240776964
721	2.238457598
722	2.229046936
723	2.221016191
724	2.220301561
725	2.216523032
726	2.207064742
727	2.202249959
728	2.194040183
729	2.193428596
730	2.192044402
731	2.190161632
732	2.183027927
733	2.175654285
734	2.166734709
735	2.158724712
736	2.153740472
737	2.14476175
738	2.140347418
739	2.134822993
740	2.129627235
741	2.124621859
742	2.116771406
743	2.111162111
744	2.102261154
745	2.101204029
746	2.095317506
747	2.092570035
748	2.083470185
749	2.076354752
750	2.071753939
751	2.068377311
752	2.059537789
753	2.052437852
754	2.051941989
755	2.05051213
756	2.042926305
757	2.036083162
758	2.029833978
759	2.02564656
760	2.018352566
761	2.012426884
762	2.00585867
763	1.999989224
764	1.992911099
765	1.986117857
766	1.979385066
767	1.976469036
768	1.967526608
769	1.959922
770	1.9550294
771	1.947832825
772	1.94150528
773	1.937468664
774	1.933930088
775	1.929225003
776	1.923778919
777	1.916730514
778	1.914099292
779	1.907852747
780	1.905670743
781	1.899394994
782	1.893078608
783	1.888519409
784	1.881103737
785	1.875422852
786	1.871997694
787	1.86976001
788	1.868404544
789	1.860963414
790	1.854018543
791	1.847931729
792	1.844721785
793	1.840735543
794	1.835824527
795	1.829788775
796	1.823473644
797	1.815175686
798	1.812148188
799	1.807601759
800	1.801847967
801	1.796169028
802	1.790792216
803	1.785168216
804	1.783949287
805	1.780344258
806	1.774254249
807	1.770652914
808	1.764479796
809	1.758414812
810	1.754152272
811	1.751705575
812	1.750509326
813	1.743796906
814	1.741369532
815	1.738602215
816	1.736393516
817	1.731065912
818	1.728773591
819	1.721825801
820	1.713868745
821	1.707674967
822	1.699911498
823	1.691130629
824	1.687984394
825	1.685908948
826	1.681298994
827	1.67512463
828	1.67481076
829	1.665702104
830	1.659674685
831	1.656073903
832	1.653005253
833	1.647438844
834	1.644142778
835	1.641959794
836	1.640368911
837	1.635740457
838	1.634907075
839	1.629171322
840	1.627254397
841	1.625060441
842	1.620124432
843	1.619668276
844	1.614638678
845	1.609437634
846	1.608551343
847	1.606805791
848	1.60397171
849	1.602788583
850	1.596206996
851	1.595500272
852	1.590032713
853	1.586394169
854	1.583101415
855	1.578978899
856	1.573689426
857	1.57056527
858	1.565993994
859	1.559720013
860	1.558894875
861	1.555469244
862	1.554806517
863	1.550601888
864	1.547022198
865	1.541775542
866	1.532740233
867	1.528881123
868	1.528213186
869	1.526181034
870	1.521562172
871	1.518091856
872	1.516282952
873	1.512282374
874	1.507924623
875	1.504847668
876	1.50343964
877	1.500333793
878	1.496397664
879	1.490594257
880	1.485709397
881	1.479267681
882	1.47321037
883	1.468082009
884	1.463918031
885	1.459869574
886	1.457577688
887	1.451547189
888	1.446607326
889	1.443882448
890	1.439271102
891	1.43491802
892	1.430887997
893	1.42420089
894	1.417956462
895	1.417330742
896	1.413920891
897	1.41311908
898	1.41281644
899	1.408684787
900	1.404436096
901	1.39956777
902	1.397997363
903	1.392351759
904	1.391762532
905	1.385912779
906	1.384563468
907	1.3795667
908	1.377161031
909	1.376507928
910	1.375061518
911	1.370686447
912	1.368963183
913	1.368559199
914	1.366586485
915	1.364828248
916	1.362504967
917	1.357708885
918	1.35204464
919	1.34789605
920	1.344971121
921	1.341623192
922	1.336329082
923	1.335034131
924	1.332823226
925	1.327900055
926	1.322500988
927	1.318010819
928	1.31509547
929	1.311651414
930	1.306701512
931	1.30153068
932	1.29751461
933	1.297176722
934	1.293880024
935	1.290060871
936	1.287017125
937	1.284149534
938	1.278336807
939	1.272604589
940	1.269564655
941	1.265242231
942	1.264637655
943	1.263699016
944	1.260051186
945	1.257890454
946	1.253600176
947	1.253131043
948	1.252588422
949	1.248351869
950	1.243700507
951	1.240495968
952	1.238723868
953	1.233630062
954	1.233157949
955	1.229928314
956	1.2284008
957	1.226811913
958	1.224051138
959	1.222578154
960	1.218059555
961	1.213911149
962	1.210299465
963	1.210099131
964	1.206919416
965	1.203149977
966	1.199902235
967	1.194383952
968	1.193587087
969	1.190375654
970	1.18649828
971	1.182108894
972	1.181032641
973	1.178116293
974	1.174299579
975	1.169713873
976	1.163958234
977	1.161779569
978	1.158553124
979	1.154887311
980	1.151641236
981	1.148034752
982	1.145785419
983	1.142202597
984	1.138772211
985	1.136814674
986	1.135043358
987	1.133399811
988	1.130082873
989	1.129467504
990	1.126084181
991	1.122646282
992	1.11854135
993	1.114233309
994	1.113098735
995	1.108424587
996	1.104149274
997	1.100150614
998	1.099663483
999	1.097633619
